,src,dst,weight
73209,Romantic,Mariachi,7.179953569633584e-05
73210,Marimba,Romantic,0.0058823529411764705
73211,Romantic,Marimba,2.3933178565445277e-05
73212,Marimba,Samba,0.058823529411764705
73213,Samba,Marimba,0.001509206157561123
73214,Marimba,Theme,0.0058823529411764705
73215,Theme,Marimba,9.236168837166343e-05
73216,Funeral_Doom_Metal,Grindcore,0.006125574272588055
73217,Grindcore,Funeral_Doom_Metal,0.0003929273084479371
73218,Reggae,Séga,0.0019469821776246818
73219,Séga,Reggae,0.050980392156862744
73220,Chamber_Music,Prelude,0.006882591093117409
73221,Prelude,Chamber_Music,0.04116222760290557
73222,Prelude,Twelve-tone,0.007263922518159807
73223,Twelve-tone,Prelude,0.01293103448275862
73224,Acoustic,City_Pop,0.0005446029844243547
73225,City_Pop,Acoustic,0.0032808398950131233
73226,Electro_House,Future_Bass,0.0021803257663203794
73227,Future_Bass,Electro_House,0.09550561797752809
73228,Future_Bass,House,0.08426966292134831
73229,House,Future_Bass,0.00014650869773302208
73230,Future_Bass,Progressive_House,0.0449438202247191
73231,Progressive_House,Future_Bass,0.0003448573152858005
73232,Europop,Hiplife,4.554148829583751e-05
73233,Hiplife,Europop,0.008064516129032258
73234,Hiplife,Vocal,0.008064516129032258
73235,Vocal,Hiplife,1.0382167588949222e-05
73236,New_Beat,Ska,0.0027529249827942187
73237,Ska,New_Beat,0.00041671007396603814
73238,Beatdown,Jazzy_Hip-Hop,0.007547169811320755
73239,Jazzy_Hip-Hop,Beatdown,0.0005040322580645161
73240,Brass_Band,Electro_Swing,0.0004610419548178884
73241,Electro_Swing,Brass_Band,0.005376344086021506
73242,Broken_Beat,Electro_Swing,0.0006142506142506142
73243,Electro_Swing,Broken_Beat,0.010752688172043012
73244,Electro_Swing,Romani,0.010752688172043012
73245,Romani,Electro_Swing,0.0009157509157509158
73246,Future_Jazz,Romani,0.00016980811682798438
73247,Romani,Future_Jazz,0.0004578754578754579
73248,Tropical_House,Vocal,0.014583333333333334
73249,Vocal,Tropical_House,7.267517312264455e-05
73250,Neofolk,Synthwave,0.004678727386150967
73251,Synthwave,Neofolk,0.0020876826722338203
73252,Breakcore,Klezmer,0.0002613012803762738
73253,Klezmer,Breakcore,0.0013986013986013986
73254,Jungle,Klezmer,0.00011188185276348176
73255,Klezmer,Jungle,0.0013986013986013986
73256,Electro_House,Hard_Rock,0.0008977811978966269
73257,Hard_Rock,Electro_House,0.0001831885271642416
73258,J-pop,Jazzy_Hip-Hop,0.0007008410092110533
73259,Jazzy_Hip-Hop,J-pop,0.0017641129032258064
73260,Acid_Jazz,Romantic,0.0006165228113440197
73261,Romantic,Acid_Jazz,4.786635713089055e-05
73262,Acid_Jazz,Score,0.0012330456226880395
73263,Score,Acid_Jazz,0.00040567951318458417
73264,Aguinaldo,Cumbia,0.02631578947368421
73265,Cumbia,Aguinaldo,0.0003816308357715303
73266,Cha-Cha,Chicago_Blues,0.00021105951878429716
73267,Chicago_Blues,Cha-Cha,0.0003912363067292645
73268,Cha-Cha,Louisiana_Blues,0.00042211903756859433
73269,Louisiana_Blues,Cha-Cha,0.002628120893561104
73270,Cha-Cha,Opera,0.00021105951878429716
73271,Opera,Cha-Cha,6.91323885240235e-05
73272,Cha-Cha,Operetta,0.00021105951878429716
73273,Operetta,Cha-Cha,0.00034638032559750607
73274,Chicago_Blues,Opera,0.0011737089201877935
73275,Opera,Chicago_Blues,0.00020739716557207052
73276,Chicago_Blues,Operetta,0.0003912363067292645
73277,Operetta,Chicago_Blues,0.00034638032559750607
73278,Dixieland,Operetta,0.0003673094582185491
73279,Operetta,Dixieland,0.0006927606511950121
73280,Louisiana_Blues,Opera,0.001314060446780552
73281,Opera,Louisiana_Blues,6.91323885240235e-05
73282,Louisiana_Blues,Operetta,0.001314060446780552
73283,Operetta,Louisiana_Blues,0.00034638032559750607
73284,Operetta,Rhythm_&_Blues,0.0006927606511950121
73285,Rhythm_&_Blues,Operetta,6.884444597432102e-05
73286,Operetta,Swing,0.0034638032559750607
73287,Swing,Operetta,0.0005337888331376108
73288,Harpsichord,Wind_Ensemble,0.0023584905660377358
