style,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Garage_Rock,-0.0022820714,-0.03959953,0.38868943,0.00041983963,0.08258248,-0.075128354,-0.013788226,0.085562825,0.087664425,-0.07830087,-0.48823085,-0.14514165,-0.0036795917,-0.39189562,-0.13317813,0.10805323,-0.08121097,-0.029784078,-0.2863725,0.062437482,0.39473125,0.61167663,0.43023348,-0.41055325,0.20124763,0.14789109,-0.058420286,0.45478776,-0.10808042,-0.56729215,-0.115639016,-0.15146357
Chanson,0.080374986,-0.08701021,0.08635445,0.10928188,0.20444088,-0.25647995,-0.2483176,-0.2450192,-0.1863267,-0.087774195,0.08615873,-0.1461839,-0.0067554843,-0.22843929,-0.03216631,0.4969439,-0.07257052,0.36594844,-0.044717535,0.22402856,0.4148006,0.41236314,0.41934124,0.28644568,0.007189237,0.11985037,0.0103566125,0.22830674,0.066912435,-0.14850673,0.16375785,-0.18377315
Rhythm_&_Blues,0.155188,-0.058107264,0.11792536,-0.25544152,0.26384038,0.09389388,-0.046562646,-0.24001858,-0.15747738,-0.06625019,-0.45889288,-0.3273517,-0.09696394,-0.31853172,0.058357995,0.15168387,-0.17834145,0.32567298,-0.264912,0.48549634,-0.10736173,0.6056737,0.35917732,-0.13013002,-0.08127723,0.405045,0.18980347,0.50954735,-0.18589664,-0.33339986,0.09676144,-0.16118954
Soft_Rock,-0.05392771,-0.113184586,0.16428223,0.038083572,0.2734326,-0.25956437,-0.1444726,0.017602712,0.13531561,-0.023363419,-0.017874582,-0.22459966,0.023781328,-0.19023581,-0.21372597,0.505474,-0.06971552,0.303421,0.012346067,0.42847523,0.09442845,0.53859705,0.3712009,-0.06577962,0.017139472,0.14573468,-0.19584545,0.021815827,-0.0022499806,-0.36877528,0.19481087,-0.0754894
Europop,-0.4788793,0.03263927,0.1589813,0.13829432,0.38186598,-0.28762525,-0.023893572,-0.31747118,-0.16397311,0.010834817,0.32923076,-0.3244994,-0.010097957,-0.22946295,-0.11582546,0.45533523,0.049531978,0.22903074,-0.11341609,0.38281298,0.108548425,0.42042503,0.37530467,-0.05894321,0.053801294,0.009652672,-0.1210358,0.19089274,0.06920372,-0.06258244,0.2812549,-0.15828468
Heavy_Metal,0.035859533,0.20649412,0.6421728,0.52070844,-0.27985758,-0.31865376,0.061919615,0.21259633,0.112912305,0.10819746,-0.1754176,-0.37167317,0.08855981,-0.054034635,0.025678758,0.47641367,0.16834013,-0.3788145,-0.21332373,0.5432303,0.050288547,0.20898615,0.5764447,-0.3526472,-0.03888254,0.27048698,-0.42455462,0.018528847,0.10289945,-0.7868127,0.07776361,0.34724712
Classical,0.42063755,-0.32379666,-0.060804777,0.094440304,-0.3126503,-0.49414513,0.082498,-0.14165401,0.04422693,-0.014763601,-0.17689823,-0.56739193,-0.016268598,0.3922876,-0.16553183,0.77695113,-0.85519934,-0.25276923,-0.31145436,-0.06973755,0.5772602,0.5006083,-0.07773092,0.3214995,0.3373746,0.22250317,0.50775546,-0.19779378,0.024102645,-0.3648647,0.50244683,-0.023919862
Acoustic,0.09176168,-0.14675462,0.18772075,0.103125,0.1985608,-0.24121724,0.03293641,0.17136271,-0.001988226,-0.07225135,-0.11235491,-0.20497103,-0.16624652,-0.032093372,-0.18358858,0.27776065,-0.13130185,0.39712045,-0.21816084,0.20069364,0.34314317,0.25767854,0.33213207,-0.29051715,0.09991062,0.10607246,-0.32669067,0.053038653,0.06779796,-0.37705958,0.099001564,-0.037653953
Blues_Rock,-0.05904102,-0.06913529,0.23389219,-0.007697211,0.23955952,-0.106748186,-0.2752667,0.24383818,0.032310084,-0.14336072,-0.3291983,-0.43837467,0.070732914,-0.021128083,0.0010665911,0.30565792,0.04156189,0.3069585,-0.08944393,0.4054682,0.19068646,0.34315214,0.2626724,-0.47033128,-0.014516072,0.4102517,-0.1787406,0.35327303,-0.15309444,-0.59063435,0.089370504,0.15345119
Dub,-0.2608386,-0.48052692,0.31491622,0.40998885,-0.36593968,-0.013631277,0.34549063,-0.344638,0.18496752,-0.42957044,0.16398738,-0.3085915,-0.19638115,-0.052076165,-0.123807654,0.13588074,-0.32489786,0.32743016,0.047923837,0.54297763,0.45612365,0.12497852,0.19774158,-0.51406765,-0.005160721,0.15705392,-0.01317217,0.28668237,-0.33964187,0.35971147,-0.116810985,-0.020084005
