style,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Trance,-4.6378427,-1.1059355,-0.9282486,0.5743336,-0.07803818,-0.25024718,0.0040597357,1.7841092,3.4803922,0.78097606,-1.5248832,0.086559206,-2.3374271,0.6121327,1.236864,-0.73788995,-0.38502356,-0.8618103,-0.39584237,0.017041044,2.032595,-1.7234554,-0.22898929,-1.8515439,-0.510924,0.75529623,-0.32260334,-1.1737374,-1.9681572,-0.44163254,1.5690953,-1.9588693
Folk_Rock,0.8559227,0.8603136,-0.06836144,2.6783347,1.0093333,-0.11368185,-0.5515501,0.5350106,-2.6557877,1.1930538,1.4401172,-0.6415589,2.1536248,1.6744107,-1.4328235,-0.12371374,0.35853806,2.7927203,0.36412826,1.3065599,0.2412,-0.22098102,1.8107353,-0.26502606,-0.5033819,-1.9987551,0.01748418,0.46545193,-0.05761423,-0.07174006,1.3307397,-0.33511558
Deep_House,-2.6409118,2.6151261,-1.0211252,-0.028624438,-1.1861256,0.13622025,-0.446899,-0.5755573,0.8128693,1.5646003,-2.6355464,-1.013411,-0.0751615,-0.24782087,2.6609983,1.533317,-1.8219731,0.7653193,0.05966093,-1.2028166,-0.57686514,-1.9404682,-1.2647164,-2.1383545,-1.5732828,-0.10305063,0.13959773,-2.2653441,-0.20306686,-1.90767,0.22987585,-1.1313864
Tech_House,-2.482795,0.40491173,-1.3279173,0.30726263,-1.3797832,1.2325021,-1.0580236,1.5418923,2.5736275,3.3293943,-2.9821143,-1.1160635,0.07489416,-1.7001557,1.6026864,-0.77703184,-0.8913868,-1.1107719,-0.7489214,-0.2652994,-0.34021392,0.6811076,-0.3182122,-3.1153326,-0.1721304,0.053191304,-1.4628104,-1.3698673,-0.27319208,-0.45935237,1.0196581,-1.0049736
Minimal,-1.5586643,2.9987452,0.2444134,-0.8419826,0.56723887,-0.2988705,-3.1587167,1.2581236,0.42480615,-1.0602568,-0.92028826,1.5060248,-0.40595558,-0.73721445,0.7316827,-1.5135646,0.06633997,-0.728915,-2.0418074,0.59082705,-2.9411123,-1.6278533,0.81477094,-2.9888077,-0.83200955,-0.58509994,-1.5602238,-2.0234017,0.7734673,-0.059597984,-0.22826144,1.3687909
Chanson,3.185608,-0.5028881,0.108798645,-0.23185529,-0.36766693,-0.017101115,-0.005049352,1.0875698,-1.1053984,-0.16099636,1.7611988,0.20285098,-1.8275981,0.22548993,-0.6398869,0.4306966,-0.58823985,1.568991,0.73458475,-0.6520794,0.011049662,1.1182799,0.5631941,-0.11459972,-0.26445174,0.3426395,0.6017309,-0.06922974,0.4129356,-0.32115242,2.4285953,-1.395397
Romantic,2.7126215,1.1354755,-0.361816,-2.2528906,1.8805021,-0.3320173,2.1183643,-2.2447426,0.32318512,0.17792353,1.2636795,-0.22343601,-2.042547,-2.3394763,0.15018572,-1.0717316,1.8287795,0.22622444,1.950598,2.8364727,-0.71187204,0.5489908,-0.73957783,-2.913999,1.9804487,1.6598207,-1.5627998,2.876247,1.8399106,-0.8363903,-2.1499944,-0.24285159
New_Wave,2.5078654,1.1084353,0.86708385,2.541498,0.042975813,2.4030871,-2.5859315,1.0618632,-0.514695,2.2529106,0.08959245,-0.10395804,-0.62438625,2.2914176,-0.6547794,1.2045088,0.89296466,-0.72070754,0.321782,1.7441485,-0.87331593,-0.61651415,-0.74834836,-0.7017059,-1.333082,-1.7007936,-0.86739796,-2.1854565,-0.56154037,-0.38146344,0.9184859,0.48202586
Abstract,-1.6123886,2.7430525,-1.1453203,-0.14402424,-0.4549641,0.661618,-3.5112748,-0.9450343,1.1318306,-0.01269843,-0.45757836,2.1319945,-0.824427,-1.3614417,1.0639572,-0.40705383,-1.0628327,-0.3467581,-3.212659,-0.5024251,-2.597376,-1.7671111,0.06100542,-0.70348704,-1.03713,-1.1367556,-0.71661717,0.23736234,-0.25406465,3.2494087,0.42710695,1.6692905
Heavy_Metal,-1.4114528,-1.5036241,0.803045,1.4427062,0.91626245,1.8006357,1.3365945,0.6162302,-1.6960176,-1.3016211,-1.1974024,-0.6096311,0.51076293,1.0707332,-2.7672381,-0.20733762,3.4184442,-0.55176723,-0.12240628,2.0751386,1.6170843,0.31733358,0.98659956,1.1722151,0.3969811,-0.7454987,1.0155632,-0.6632259,-1.2116178,2.6007507,-1.1812582,1.4782864
